,ユーザーURL,プロフィール,総いいね数,フォロワー,github,twitter,ポートフォリオ,Article数,Scraps数
91,https://zenn.dev/e99h2121,2003年新卒入社した「人事給与システムのリーディングカンパニー」でへたこきながら開発をしつつ qiita.com/e99h2121 と使い分けながら書いてます。2016aug生まれ娘、2018oct生まれ息子に精神を鍛えられている日々,21,1,https://github.com/e99h2121,https://twitter.com/e99h2121,http://e99h2121.github.io/,34,0
92,https://zenn.dev/ginpei,🍣JapaneseSushi & ⚡JavaScript,96,8,https://github.com/ginpei,https://twitter.com/ginpei_jp,https://ginpei.dev/,2,0
93,https://zenn.dev/suiudou,リアルインフラ設計がインフラエンジニアを目指して勉強中 2020年の４月からおばあ様達と苦手なPC教室に通い始めWordとExcelを学び、６月頃からAutoCadを使いこなしいまはインフラエンジニアになる為の勉強中です！ くーばねてす倒したらエンジニアになれるよ！って言われたのでやっつけるのが目標！最後はマブダチ,21,3,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,84,0
94,https://zenn.dev/site0801,初心者です,5,2,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/site0801,none,1,0
95,https://zenn.dev/mokomoka,公立はこだて未来大学（FUN）のM1💻 システムソフトウェア研究室所属ですが、システム監視ツールのUIに関する研究をしたり、Androidアプリ開発の勉強をしたりしています。,15,2,https://github.com/mokomoka,https://twitter.com/_mokomoka_,https://mokomoka.github.io/portfolio/,1,1
96,https://zenn.dev/garypippi,なし,13,0,https://github.com/garypippi,https://twitter.com/garypippi,https://garypippi.net/,4,0
97,https://zenn.dev/swata_dev,Novice Programmer (2020/11 ~) § Living my life with a chihuahua baby.,110,7,https://github.com/swata-dev,https://twitter.com/zenn_dev,none,38,2
98,https://zenn.dev/phi,just a creator. one zenn(good) per day. #html #css #javascript #nodejs #firebase #firestore #gcp #riot #vue #swift #flutter #cpp #unity #opengl #rabee,292,32,https://github.com/phi-jp,https://twitter.com/phi_jp,https://rabee.jp/,32,1
99,https://zenn.dev/koyomi,21,2,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
100,https://zenn.dev/tanakh,"今すぐフォローすべき競技プログラミング界のスーパーエンジニア。国境無き猫もふ団。SuperCon2000優勝/ICPC2004,2005アジア大会優勝/ICFPC2010優勝,2019審査員賞/第一回京都大学総長賞/すごいHaskell/カレーマイスター http://tanakh.jp",43,14,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,1
101,https://zenn.dev/nmrtkhs,Webとゲームの会社のエンジニア👨🏽‍💻 / 副業でエンジニア教育もしています🏫 / 趣味はバスケ🏀 / 現在育児休暇中👶,6,0,https://github.com/nmrtkhs,https://twitter.com/nmrtkhs,none,1,0
102,https://zenn.dev/lucas,なし,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
103,https://zenn.dev/err931,とりあえず様子見で。,3,0,https://github.com/err931,https://twitter.com/zenn_dev,none,1,0
104,https://zenn.dev/tsugu_maru_san,吉祥寺ではたらくエンジニアです,20,2,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/tsugu_maru_san,none,1,0
105,https://zenn.dev/sasumasa,Web エンジニア。Flutter でサービス開発中。 Ruby / Ruby on Rails / Go / Beego / Python / Express / GraphQL / Terrraform / AWS / TypeScript / React / React Native / Flutter,14,0,https://github.com/masayoshi-toku,https://twitter.com/sasu_masa,https://blog.sasumasa.jp/category/tech/,9,0
106,https://zenn.dev/ryomak,バックエンド,5,0,https://github.com/ryomak,https://twitter.com/zenn_dev,none,1,0
107,https://zenn.dev/magurotuna,まぐろ つな,521,48,https://github.com/magurotuna,https://twitter.com/yusuktan,https://maguro.dev/,10,5
108,https://zenn.dev/wawon,Hello,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
109,https://zenn.dev/ryuji_ito,"理系大学院生です！ メインはフロントエンド開発をしています。React, Next.js, TypeScriptあたりが得意で、Node.js, Python, Django あたりも触ります. 最近はGraphQLの勉強してます.",33,6,https://github.com/ryuji-ito-0222,https://twitter.com/ryuji_program,none,2,0
110,https://zenn.dev/nananaoto,エンジニャー,11,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/naoto_7713,none,3,0
111,https://zenn.dev/phoepsilonix,なし,6,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,7,0
112,https://zenn.dev/zones,アマゾネスです,48,5,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,4,0
